human_agreed,pattern,count
Y,should be in utf8-bom encoding,0
N,"Error: ""<X>"" in file: ""<X>"" near line: #",1
N,Script location: <FILE>:#,2
N,PostValidate of effect '<X>' returned false at <FILE>:#,2
N,Variable '<X>' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count,2
N,"Invalid scope types for event target link, link: target_country at <FILE>:#",2
N,Compiling source for eco_pulse_spread failed for unknown arguments: TYPE. At <FILE>:#,78
N,Assertion failed: Failed creating backing building for Building Type <TOKEN> (#) in State '<X>' (#),1
N,You are trying to inject/replace to a non-existing entry: ai_strategy_default:Inject in the file <FILE>:#,1
